query_id,answer
BHqkB8hyVBLYjeJk,ea4b62cd245b9a77 8834dddb19f784d8 fa8f3e2db701c980 e1b4eba97b8c5240 203bd20bd909376d 6ca646f31be2f88a 9bbba29b77e9b1af f6cafc65bc477089 04a433604469adc8 f4310a574a8537ff 6e28821e5a681b5a a56fd64b3ff5130f ad86467ee810f2d2 e23e327b22211b7a 611804dbb9c68a4c 9d0d9e73fb885f2d 02041ecc093b5437 a588f6a8c3cf7bb9 3762b4cd21a5311c 219b726aaeaf24a6 4524365f48ebcf8d 6eb4a74791507649 f7ed30d20f573f74 edb71c4a334651b4 b4017e6e7d3fded8 1612cacde1600997 4782f6ce1955c834 f7bd6c612e4dbe56 77591840de7e9360 295f73ab7eb6cfd1 1c087d336ebc3d78 da827f116d8d25d4 955dada2f9842dcb 3858c11ffaf2f474 064b0cfbf9d27702 baea4f783c8f0a9e e7ca5f3fe4c7223d 6f5894fe3efa9dc8 c560fce1e1ff9623 6e3b61a175e3719b ef50c253de4b7247 bbdcb85e9def7e9e 66b15d55d8e830e8 0f312d86f2123213 5f72019e2d330941 ab991544f40f5bff 6ef53a49802dae7b da0941328a71286d b8592577c27ed8a3 0429a276b248c73d
dkPW1ez4OuJlKP6f,bd5db5a85cb5d137 bbf504a6b1a049c6 3273767a2bb49d6b ab5b5ba8f1cb89be 6584cfa935839cf4 b39e5854ab83559d 08c03e3b1f19b3aa a234a719880fd744 ce7523dfe05215a7 7afa7486462f252c 297d7a16bcc23db9 8e8af64394503d23 3c56c0214478ea29 4588ed8ff4f28ba1 05f67f8e73f3eeca a49871d79f4b98ab d16c6aad87b0dd06 24dcada9402c5760 1fbd8eabfdbd4e18 c6a2cca92ccebbed 01346d7ab677a006 a8d8a9fd35ab86f4 dcb69941ee189cfa 4ded79793f35192e 806d23a4615e5841 0239f8a55c21711f 4bbb6cf166d6242d 83b57f6e2fbe6cf0 530b319de7efdbec 0379f593b36a1dd8 829de623e3057ff4 2dbb67933540e667 f5a84b4ef603a5f4 a998b2daeafd171b 1ac8a5b77e6a8c42 c59d6a728daa8d08 73c885fffb81687f 115a4ff12a55af75 16895be7ba379e48 54e2af6d91225d71 699589ba6a3ca762 9bdfdcd2af8563de da5876777de67e72 d7eed8775adc0ba0 d358644b7d4cc307 e30b07e5dd532c7e f29cbfff2e995f80 fd88a4874a9d10d3 cd22f02d9b107f02 18e40dcee35f8a19
QcN46alMOqpAE50I,f9075c5549063c63 b9144f0619e1ae69 eba2cc8c8ecef336 d3580e4f758a08a1 9e999755929baf38 0d1acb8159c9bae8 7b8e2acd7edb4ddc a85baed12dcffac7 1e33b48ebfd2fc24 fae41dd969a99050 e3ac4995f4cd476a 12a2f6af38d3966b 647754b1f68e08d5 610bdd79153340d1 cf8b881b52188f2b b308d47410a46636 8d9c6c04212bf64b a6fa0c2925fd4270 f5c0b6e975629ea7 eda2c60a89e63b56 c207062ef3be9dba 14ebba70f442932c f032343ce917a26f 840845c4fe9ba442 1f8ea6168f1bddb3 c433a8b8a4ea889c 5cc6f405dd52fe13 89d5e4a102328b0a 26388583fe42b87f baa90bb03c66fdc9 77778ac0644ff4ca d7adbd0f5b3b8c7a 6384cf25941ffe71 ddd76295790c84cb 10339996143c51c6 d272dd86b23f44a6 54f9fd5755051f69 9591c3a5933d9004 cfd1607c20a6042d ad6183b2c56ff307 578f8c446161a293 015d3f0b41b1e3c9 4a8fe1c2426e9eab 45d15db67d48cb4e d72fa9ba9554dded 1731b9709618a777 9f184cdefed8ec2d d49aec59141089d4 d02230fe7148d272 643972fb5b93f12f
Q4BzK1C2QbMpWats,671ec869f80e7688 5c42e75509da8ef4 841b9ab0f8027e7a 20e2792b14789745 d7dee04803e8d990 0471c8f2cd3fe2f3 7b7cf1a0d94a0bd7 92bc52f8a4737d9b 453636b090c3d49d 7cc855258cf6ed7e 811ef25ecf305ae1 d6dadbc9b22b659c 7190fdbcdcc5dbe5 67c769c0188cee26 a0c0ef62c80c3510 9cfa00b18c58f469 167627f1ca07c2f6 67c7c49bfaab55f5 97dc61e01a914a8e 9be59b6411cf11cc efb884a729e258b4 236a3e09dc3b0216 ce6223ec03da1d47 e032075cf77761d0 c913a66658074d96 c606ee82ee3aea6d 59576423fe00e3b2 47fcd4c2c2145110 93b8d7b11253295e 08c8ec546c71428a 7d85212d723de304 678113e66a3cb125 be1e9104ca77441a 69a6e965119b0b64 c302a84c719de657 d264956dc7321e3b 4acd13afc12253bd 64f57041b80aac61 7990bc152af41e23 f974a4725d780076 e33735e0e0015448 ec37406adf01737b 935a7a8c18a23101 fdafca8b9e0bbca3 4528b55ecf2093a9 56533898833f7c7f 218eff70b034ce60 e739c5eed0b256e6 1679ce51048fd777 fa48a6d5213f9130
94UtW5eRuV3rcDEO,3c20d09240795139 1ac8500f7b56b63a 685218bb0c175119 5d552370ba268cbf 524274c2d227d660 34d60400605d36fd cdd9f749958d3f82 534bcf271df0cce8 61dcb2a462e54b70 a0f60cd9dd6cdc83 72400063523b73ef 4729f8de96814711 414d5d20f42c1c6e 0bc88004234a9cb7 bf121ca8e63ea494 8f638f1be5480f28 a91f698bc47afc1e 89ce608eb7222ea7 47dc2811d1587ecf 901247d9c4e558e4 a8b0ce6a110be36a 1f33cebf6b12fc65 1450a7c1e5bd2721 ec5b4ff09452de6d 1a0e58a958856a25 a695777bb7344227 dec85246d325e30c a9a37fa08cc6c560 54b29f6e0bb450e1 e5ac544203bcdc59 60ad998bf89d045a d97e418dc642a621 603a344335443ca6 705feaf6dc459576 6ae5e81280cb536f 24a5329bf1f3ae50 746b4bf30e7c91e8 921d936186e24446 98d8498571f09c18 54cd88214da06044 73e0995ef4d2145f c2b418d5c62931b7 99c5b6e7d2f3a4f1 2a63e1b915bc56bf a7a9faf5763106ed 323fd899172c3c36 177f2980442acf93 708a8f2b461e46a2 a171a22a2b43d035 5cc00068a5c43a86
6dYxIAlZOriT6SHH,8d8024054828e9be a4fb1fc05743e013 a1f89a5af43b9a19 9ee2b11a31a70cf5 2aed19e73962d863 da7dc4d297aef6eb 65c405ebfb147129 b5e26b462b1aef93 974542c247cafa42 90b3f8b06894c1b6 e9e1e3c16e984182 8218df0a3a3748b8 5cad0ac6e995c630 75368254f36b2c3f fd66068dd6ea25e9 e289cd35cb30f3c5 3dca7ae07ecdb386 ad17e496eca1e630 ef22fd7061edc3a9 616137eeb40fbedc d2b9491fc7a439cc 439eb894ba7fcb14 a50929967895f818 66860b3fd69e8056 e2995747d7bf520f 66fcfff959aef409 9e220e973eb16cea 6f7ac81ef73a5837 c3e4df719264dbd2 b0b86882f0584d34 0af686fb84b9b92f c90b018b9116a632 e2a5b929bae99d57 3edf9ee666855377 040538f9a0254a99 b2cc1ae244c6b85f 33bbaad367e21213 38fe73c679255703 8a25c667dcca8b38 5ec96de7fb5022f7 c6a5f50529bacb91 a33899433456cca2 5ac85ac00cfa19c4 915cc7d7da29f780 cade2a73809491c2 4a87e6a489365340 1f83788a1b0e2ef3 a9748aff65aee012 512d9e0e2120c8e7 727d6c1d879da832
moFmX6XQY5SEz9hU,9879311b1681e073 d0e4967dfe1101db df54b3f7497d69ed f82a20b60a8188cf bf66c5bde034e509 e2613b0dab30d6f3 84653afed4262adb f5de2ec16f211a23 1c7fb1eb5fa9f23f 20277fdaf89ff58f e15ec8d2e5920abd cfcecefd6ef84b55 2ac8f3a653a3eaf5 ff8c83488b07936e c38eaca8f33609a0 8cb482057f19610a 05d2cd5f312fb219 36eff9b9a7e29644 c65e1b569a7c5d39 445eec11e8ccda32 bbdf1474f630da80 ca4f1545aae9664c beaa3cdf9e479a53 1e71d883c20c90c2 5f0af11c55c93f37 f338dc60ed5fa61b 63229d195b66275b 5a715317435d1a1b 430bef5508127742 bbfe0f8454ef40ef cfd4e8ec17e1fde3 59dc3da62ce75b1f 1f6304600d5c0a9a 6d9043d370b9256b c36574e886c6ae7a ea678b8d36451645 fb72f048dd7a014b e149c3013c8274da e239892c841076a4 2c1a9e98964ac2e9 8e7b4a439bada54c d8b1981ed6e55190 21afe7016160704e 3954e8ec8bc6ca15 627150f653985658 d46529deee40cdde 571d3b5b85b170c5 63dfe0ca46ac8063 835e72268639dd09 c09474d79c9fb262
R66chaldEN0epFjt,0fc323ba42b4e297 ed7535b081298136 940145809f2688de 4777f74124804636 4993b7b3b23b3b00 d2145b5a6a212de4 99504a447db7c9e4 d138402d61cb886c 2d353626c1997a93 b50670570ac8e4e2 eda3abd9ef12b7d6 4a6808d41c1fdaa7 ec502220d6918e9e fb08e8511ced9f8a 469ae58216eb9d1e d549d7a2d4311afb 5645052abdec64ee 9eb9353faee10068 5b15bef5cf8cf7ba a2e6a3ba6d58714b 77317e8991a6f510 19b41e5d3ac6c797 edca8324f35618f5 e7d7e4b9691bb61e 7379d81892fb8ef9 a5277260dbfa8ab2 2e3ea7cf3cac3fef d7c119f222db17c3 d85ac15a3fb338cd bdfce93504afe108 ef1635b7b6a9d601 dd935766cd1f4640 4169531a5911e94b 3422b3531a4d9623 ed814c08110382d3 eb24d57dc94e6fc1 706aef11c086f2cc 45ba36e6d9ffbd06 a084986d25e6e5d5 fad350ff33deeca7 69fcee637df221af c24ce13d01895854 5ca511f5dd0fce96 b48295065b2028fc b31317b0490e4d13 58c60077ba4e94e9 c6a03585a8c5d61b 6df33868049d45d3 86bae04a3b972a57 66e306849627847b
LeWIzjoTRN8saOxg,c9ec99ffcef43ebb 0b7c0b04d3858dae 0aa4988f7527044f 5ca4d12a7066a061 ce412ba63a3567e1 306a6fcc24b3c9bf a97a60e0b0c7371c 0fbe3bf393bd7462 59ad84f75ee98b4c adcdff6300cac5e8 74d109ec13995ce9 236cfc946d46f64b e58464fa36c182b7 ff62e9f24bca34c4 bd2296ed4cea9659 3086070c012c8e23 b495056ef40d11d9 a4c4f780d720ea71 c0dfe8e3e9c7d31d 6094c5b0a8227850 6a1402ef66bbdd4d 6f520d3d5cb575e6 6129b43b7272730a 21d795ce5d12a1a7 6edf6b69fecf5fb6 74012473ecb6f929 d400282b720cc795 1c28d1cd3e4af0d7 b351b2435b10dde2 0fdacb5f72a4b0e3 8e7e64c30f92b48b 82286f6d979ecedf c288d0798a4b5a66 64bc14be93b8a7d6 357bf2e34e92dab8 5099879696871d1e 8397119645ad3c11 6557cc5d11d0fbf7 0904dcce0360d5b6 3d38588b3ed9b3f6 ef6de8af68b6f556 e41335901e97935c 4c4a9f35845839ad d2b6e9e259f60467 db380030381b69ae f8eb8cd6810dc45e 9e5a52620eb9f8f1 5c72cfe95029460b ce8aab5622babae1 d3a586d37f7f63dd
YeC06bC3Bws9SfaN,15d6c65ea742a8ff eafb0d921301d2fb 2077e588b04a1f3e 9f0991316bd710b5 075f0e435e410bb6 27d6424908ffbd80 33e603bb72cd311c 82e35089f3d81710 0d14050b90c7539f c693679ec1d0ffb5 fe8e329cb658167d 73502d224d30ad09 d477d2c2fbc0622f 30e7e1e25f454abd c453e04543b05518 73ec7717c33a0bc8 36063905268a4cc0 c6158aeb65364c32 73da23eb53c33360 731d59964ef422c9 10f0eb0d5af774b2 44c3a0c85aafb858 c518220aeab7ac77 fbe6b7849d900243 d7ae79dcc88246b7 36a2c825d08dc29a c0da89b71d346050 8619ed6f1b398034 1116edeb786f243f 6331e804af6e98a8 cf76823d50532023 c3dbf79930898026 516023a085a94273 afb8b4857b9e782e e95f452bb6921b0c 87b998f28543e69d 72c62cfa1f6bed83 a5b8d17d272f2c30 011f251f80bb7b8d 1233bbfc69d0f172 2e6b2ddb57c3677b 21f10bf31b81eeeb ef323898b7b5fd81 6681772ffd669005 04d9c37e89986f01 036e1bb4542de152 51fd957473e45f5d 58c60077ba4e94e9 582fbeabcc7c9ae0 2525ca99d43fe87d
Mkw7pexvDmMpFdzO,57ff6765aa00ff0b 83725951858328f7 6b616bde25aca76f 1c1d824f508ccdc1 92dedd578ad31740 f2d0a35333fe0d2a ce1965850e038a5b b4522af9085468c8 97895d0e01430afd a0a387ce1ac24b84 db4bbbc20cecbb59 f88c981aaccd877e 3dd5f7dbeb3fa3f3 54f4b4f894fec8c6 8ef378dd9209e56f 39f6da7bac4fafa6 bfd90d86d2d62902 bcef0e8ac0930e5d 2f6d35e4d0253d51 3a3c151137376980 f654e60dd0a22b96 58716aa0aeea0499 b12d7d2e14bdc55e 1ae3011550af0c8e f2eb2c9c0517c9d2 25f51320f2ee2eac 740a7ea17c9b1373 5520a6e97cd35a5a f6aa904559f26e0b e6e12afb1a39e9ca 2ce87380794a1673 1161b440cca52e93 9d3f749301a84688 175c58df6661ce6c 90f75b22911b0235 fe2a8767c7e0402e b21d7808ef2de3b4 50345d346fe3df97 174d7fe1702cf637 3696a1814da14975 927ea0413d2c6bb8 1284c8eb2914f121 2a3d32b8049eb72d 678d45b90747a9b5 54c6e4e9ef854bd2 d9010d0a19ed9fb5 593dc0e8e9c6c15e 72f005c9e202237c a27416e78fd3ad20 a1683fd3d7df933f
M1yUaCX37j5UCE6M,fe8113c31dd663d5 55f8ece9056e50f8 8fa7b4c1988a2c6e 1b63c0257f6bbffb 051d2861e217e7c4 0fbba4484e5590fb 801065f01ec7471d 69b23aa6257b66ea f1851cf6327922db 4711aadf17749757 2543cfa43fa54f0a 5508ebe97dec3a2f 35b0ae8da97bbbbb 1417f9615d7d4209 64346de7f81347aa 41774d8bfaa8cfdb c95b0e54afa46cf1 3a70bcb3086fd54b 9c54bb56f1427778 7127da7f3cdc1aec 6ec6c92bb19ff552 881f02823eff975f 2340858f580b8f2b 3cfabc0b75472e0c ecc0c384cfc32e9c 1bad463119bbf395 60886147bdb384b6 e01d72c130019980 0a48ff8e6323a0e1 ef72179daa448367 f838152517273eb2 d2e4cddc6fef157f 2fa2513cc37b9d11 06fd16cab31dc8e5 10b283285b9899da 129e9500b6de871c a34b647f7fb47412 7ff8d24a8dbae395 492152186018d6f0 fc384d140cf0de2b 436f73eb35488f2d 93e68cf7ffbfef7d 4e431c9ab03fee8e e47b20ed07d263c4 19c070c1bdd7dcb1 da0012e0276ed2d6 174ae15d0d98ab0e 330310efe0d165b1 e466cbf8dff593f5 53175270841bac04
qICpl1nghlMbD1sQ,f86a9d1243df3b56 37f255682546b303 477469f3115b08d6 36ca8b412025a827 349781785b2766fe e8b75e53d19a2185 9f9551a0e331fa2e e69c0e48e6d6663a 4fca1c39ef40c513 e3d8b8ea9c3a2a72 6fbc07917bbdaab5 13042035f041ca90 92d123b6acc6beed cbe4a74f3d47dc36 c067131949d2ef56 32bb8de3458bada2 167655a3fca9fae2 7e6826a2bdeff5a9 54b95e75a2a9a466 6879876d12974c1c 765fb77b9984c034 a5526b66afbaff6a 71763e026da1773b 801b34f2dd5494ad 88935e2b4ca73f47 6a9b6c5dac7f8681 3abe26891ca22be7 82edabfb3f0ee638 25c4aa4d9da2c3ab e941a84954302df9 f36f2df68caa2a21 d4761122ea47a377 e17213d58c08488a 78d8da0d2f65160f 5d9271379d848806 31a3fde52d1d4246 99a31d9e5bd6eda8 1d9cf7f8484882bf 6ff991315ab63238 2dafe53245e6d49b 7002540f0ba5f9d3 638df4ff333c78ba f92ded3229b4b6ae 69db86e78f12258d 2a4ae91c0c3464fe d47993d04b026aee 01a3b5a401f6ef29 4cafba8c17bf1741 3688c5727b3c37d0 61973ab99f664ee9
